grupo,monto_argos,monto_intranet,diferencia
36,0.0,1080811.0,-1080811.0
5B,-1294820.0,0.0,-1294820.0
6A,16993593.0,0.0,16993593.0
6B,482552.0,0.0,482552.0
AL,0.0,-51420.0,51420.0
AR,0.0,3048077.0,-3048077.0
BE,0.0,-3565696.0,3565696.0
CO,0.0,2727562.0,-2727562.0
GA,0.0,1836216.0,-1836216.0
IN,0.0,-2962263.0,2962263.0
MA,0.0,2702028.0,-2702028.0
ME,0.0,3716232.0,-3716232.0
PE,0.0,-35088.0,35088.0
PR,0.0,-1248387.0,1248387.0
RE,0.0,2702028.0,-2702028.0
SE,0.0,3232130.0,-3232130.0
TR,0.0,-610410.0,610410.0
