"Cuenta","Descripción Cuenta","Saldo Disponible","Presupuesto","Gastos"
5B0005,REMUNERACION HORAS EXTRA ADM,            -647.410,                   0,            -647.410
6AA001,ARTICULOS DE LIBRERIA,             538.012,           1.207.806,            -669.794
6AA004,INSUMOS FERRET CONSTRUC Y MECANICOS,              55.186,             108.082,             -52.896
6AA006,INSUMOS ELECTRICOS Y ELECTRONICOS,           1.565.693,           3.977.384,          -2.411.691
6AB001,MANTENCION DE INFRAESTRUCTURA,             270.202,             270.202,                   0
6AB002,MANTENCION EQUIPOS MAQUI Y MUEBLES,             138.035,             216.160,             -78.125
6AC001,TRANSPORTE,            -256.553,           1.664.448,          -1.921.001
6AD001,CONSULTORIAS Y ASESORIAS,             322.839,             486.366,            -163.527
6AD002,PERFECCIONAMIENTO Y CAPACITACION,           2.431.826,           2.431.826,                   0
6AD006,SERVICIO APOYO GEST ADMINISTRATIVA,             -30.000,                   0,             -30.000
6AG002,CORRESPONDENCIA,             -20.230,                   0,             -20.230
6AH003,OTROS SERVICIOS GENERALES,            -746.265,                   0,            -746.265
6AI001,SERVICIOS DE BANQUETERIA GASTO,          -1.833.709,           2.156.220,          -3.989.929
6AI002,ALMUERZOS Y CENAS,             152.626,             194.546,             -41.920
6AI003,INSUMOS ALIMENTICIOS,             127.705,           3.285.666,          -3.157.961
6AJ007,INSUMOS DE ASEO,              52.340,           1.418.564,          -1.366.224
6AK001,GASTOS DE REPRESENTACION,           1.621.218,           1.621.218,                   0
6AK002,MEMBRESIAS,             324.243,             324.243,                   0
6AL001,PUBLICIDAD Y COMUNICACIONES,             196.706,             340.456,            -143.750
6AL003,MERCHANDISING,            -924.658,           2.496.674,          -3.421.332
6AM015,BECA AYUDANTIAS USM,           3.791.415,           7.155.415,          -3.364.000
6AN003,VESTUARIO INSTITUCIONAL,            -147.450,                   0,            -147.450
6AZ003,MAQUINARIA EQUIPO INSTALACIONES,             405.304,             405.304,                   0
6AZ004,MUEBLES Y HERRAMIENTAS,             235.219,             270.206,             -34.987
6BF001,PREMIOS-REGALOS,            -615.539,             340.450,            -955.989
6BF002,MENAJE,              76.815,             129.697,             -52.882
6BF006,TRASPASOS INTERNOS,             780.000,                   0,             780.000
